Date,Mon1bed
03-01,190
04-01,190
05-01,190
06-01,190
07-01,190
08-01,230
09-01,230
10-01,230
11-01,230
12-01,230
13-01,230
14-01,230
15-01,230
16-01,230
17-01,230
18-01,230
25-01,200
26-01,200
27-01,200
28-01,200
29-01,200
30-01,200
31-01,200
01-02,160
02-02,160
03-02,160
04-02,160
05-02,160
06-02,160
07-02,160
08-02,160
09-02,160
10-02,160
11-02,160
12-02,160
13-02,160
14-02,160
15-02,160
16-02,160
17-02,160
18-02,160
19-02,160
20-02,160
21-02,160
22-02,160
23-02,160
24-02,160
25-02,160
26-02,160
27-02,160
28-02,160
29-02,160
01-03,190
02-03,190
03-03,190
04-03,190
05-03,190
06-03,190
07-03,190
08-03,190
09-03,190
10-03,190
11-03,190
12-03,190
13-03,190
14-03,190
15-03,190
16-03,190
17-03,190
18-03,190
19-03,190
20-03,190
21-03,190
22-03,190
23-03,190
24-03,190
25-03,190
26-03,190
27-03,190
28-03,190
29-03,190
30-03,190
31-03,190
01-04,260
02-04,260
03-04,260
04-04,260
05-04,260
06-04,260
07-04,260
08-04,300
09-04,300
10-04,260
11-04,260
12-04,260
13-04,260
14-04,260
15-04,260
16-04,260
17-04,260
18-04,260
19-04,260
20-04,260
21-04,260
22-04,260
23-04,260
24-04,260
25-04,260
26-04,260
27-04,260
28-04,260
29-04,260
30-04,260
01-05,270
02-05,270
03-05,270
04-05,270
05-05,270
06-05,270
07-05,270
08-05,270
09-05,270
10-05,270
11-05,300
12-05,300
13-05,300
14-05,300
15-05,300
16-05,300
17-05,300
18-05,330
19-05,330
20-05,330
21-05,330
22-05,330
23-05,330
24-05,330
25-05,330
26-05,330
27-05,330
28-05,330
29-05,330
30-05,330
31-05,330
01-06,330
02-06,330
03-06,330
04-06,330
05-06,330
06-06,330
07-06,330
08-06,330
09-06,330
10-06,330
11-06,330
12-06,330
13-06,330
14-06,330
15-06,330
16-06,330
17-06,330
18-06,330
19-06,330
20-06,350
21-06,350
22-06,350
23-06,350
24-06,350
25-06,350
26-06,350
27-06,350
28-06,350
29-06,350
30-06,350
01-07,350
02-07,350
03-07,350
04-07,350
05-07,350
06-07,350
07-07,350
08-07,350
09-07,350
10-07,350
11-07,350
12-07,350
13-07,350
14-07,350
15-07,350
16-07,350
17-07,350
18-07,350
19-07,350
20-07,350
21-07,350
22-07,350
23-07,350
24-07,350
25-07,350
26-07,350
27-07,350
28-07,350
29-07,350
30-07,350
31-07,350
01-08,350
02-08,350
03-08,350
04-08,350
05-08,350
06-08,350
07-08,350
08-08,350
09-08,350
10-08,350
11-08,350
12-08,350
13-08,350
14-08,350
15-08,350
16-08,350
17-08,350
18-08,350
19-08,350
20-08,350
21-08,350
22-08,350
23-08,350
24-08,350
25-08,350
26-08,350
27-08,350
28-08,350
29-08,350
30-08,350
31-08,350
01-09,350
02-09,350
03-09,350
04-09,350
05-09,350
06-09,350
07-09,350
08-09,350
09-09,350
10-09,350
